City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Mazagao,BR,2022-04-20 18:08:10,-0.115,-51.2894,78.85,73,94,4.23
263,Sobolevo,RU,2022-04-20 18:08:10,54.4299,31.8996,46.11,81,100,14.76
264,Omboue,GA,2022-04-20 18:08:10,-1.5746,9.2618,78.96,86,92,6.73
265,Arcos De La Frontera,ES,2022-04-20 18:08:11,36.7508,-5.8106,65.07,43,76,5.99
266,Saryagash,KZ,2022-04-20 18:08:12,41.4511,69.1701,58.23,86,87,3.51
267,Buchach,UA,2022-04-20 18:08:13,49.0625,25.388,43.57,63,100,7.02
268,Abalak,RU,2022-04-20 18:08:13,58.1286,68.5944,39.67,88,100,4.27
269,Kiruna,SE,2022-04-20 18:08:14,67.8557,20.2251,45.52,57,100,3.44
270,Nhulunbuy,AU,2022-04-20 18:08:14,-12.2333,136.7667,77.61,94,90,0.0
271,Bambous Virieux,MU,2022-04-20 18:08:15,-20.3428,57.7575,77.22,80,92,6.29
272,Fare,PF,2022-04-20 18:08:15,-16.7,-151.0167,80.11,71,5,3.49
273,Radomsko,PL,2022-04-20 18:08:15,51.0671,19.4448,38.91,97,100,7.99
274,Nargana,PA,2022-04-20 18:08:16,9.4428,-78.5906,82.09,73,85,8.86
275,Praia Da Vitoria,PT,2022-04-20 18:04:22,38.7333,-27.0667,63.75,71,97,3.94
276,Desbiens,CA,2022-04-20 18:09:17,48.4178,-71.9495,36.36,78,97,19.15
277,Vardo,NO,2022-04-20 18:09:17,70.3705,31.1107,39.18,93,0,6.91
278,Guayaramerin,BO,2022-04-20 18:09:18,-10.8368,-65.3614,79.39,86,95,3.6
279,Panarukan,ID,2022-04-20 18:09:18,-7.7018,113.9184,76.66,84,95,2.71
280,Griffith,US,2022-04-20 18:09:19,41.5284,-87.4237,49.1,70,100,20.71
281,Olinda,BR,2022-04-20 18:09:19,-8.0089,-34.8553,80.33,89,75,14.97
282,Kanniyakumari,IN,2022-04-20 18:09:20,8.0833,77.5667,83.39,82,62,10.2
283,Impfondo,CG,2022-04-20 18:09:20,1.6381,18.0667,72.14,97,100,2.77
284,Taoudenni,ML,2022-04-20 18:09:21,22.6783,-3.9836,99.48,7,6,16.91
285,Sorong,ID,2022-04-20 18:09:21,-0.8833,131.25,80.89,81,100,1.77
286,Mayo,US,2022-04-20 18:09:22,38.8876,-76.5119,61.95,39,0,8.01
287,El Vigia,VE,2022-04-20 18:09:22,8.6219,-71.6506,86.34,65,94,3.51
288,Sonqor,IR,2022-04-20 18:09:23,34.7837,47.6004,59.02,31,94,3.18
289,Moerai,PF,2022-04-20 18:09:23,-22.4333,-151.3333,76.42,65,100,27.2
