,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Toppenish,US,46.3774,-120.3087,55.35,52,100,4.05,overcast clouds
210,Saint-Pierre,RE,-21.3393,55.4781,82.29,68,0,3.44,clear sky
211,Namibe,AO,-15.1961,12.1522,72.41,76,49,1.1,scattered clouds
212,Iranshahr,IR,27.2025,60.6848,91.74,17,0,0.0,clear sky
213,Mecca,SA,21.4267,39.8261,91.87,27,0,1.52,clear sky
214,Bethel,US,41.3712,-73.414,47.48,64,0,5.57,clear sky
215,Constancia,MX,24.2231,-107.1869,67.98,56,2,5.26,clear sky
216,Mehran,IR,33.1222,46.1646,80.02,40,14,3.18,few clouds
217,Saint Anthony,US,45.0205,-93.218,54.25,81,100,18.41,overcast clouds
218,Tarko-Sale,RU,64.9225,77.785,26.1,79,24,12.08,few clouds
219,Bambous Virieux,MU,-20.3428,57.7575,80.85,65,20,11.5,few clouds
220,Hermanus,ZA,-34.4187,19.2345,52.81,81,32,6.89,scattered clouds
221,Port Hardy,CA,50.6996,-127.4199,50.18,71,100,10.36,overcast clouds
222,Zhigansk,RU,66.7697,123.3711,34.27,91,55,26.4,broken clouds
223,Kizukuri,JP,40.8061,140.3861,59.41,41,24,9.22,few clouds
224,Sosnytsya,UA,51.5239,32.4999,48.45,59,80,5.19,broken clouds
225,Manavalakurichi,IN,8.1333,77.3,89.26,67,98,14.65,overcast clouds
226,Ribeira Grande,PT,38.5167,-28.7,61.54,87,12,14.76,few clouds
227,Zvishavane,ZW,-20.3267,30.0665,61.09,62,0,3.53,clear sky
228,Alice Springs,AU,-23.7,133.8833,76.55,44,35,17.27,scattered clouds
229,Hovd,MN,48.0056,91.6419,60.89,14,1,7.47,clear sky
230,Praia,CV,14.9215,-23.5087,68.54,73,20,14.97,few clouds
231,Purpe,RU,64.4803,76.6897,26.2,79,29,11.79,scattered clouds
232,Troitskoye,RU,52.9821,84.6757,71.8,29,100,6.55,overcast clouds
233,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,94,38,7.07,scattered clouds
234,Ostrovnoy,RU,68.0531,39.5131,23.54,85,82,18.7,broken clouds
235,Jaroslaw,PL,50.0162,22.6778,46.8,72,94,3.83,overcast clouds
236,Bud,US,39.447,-86.1758,59.83,72,100,12.53,overcast clouds
237,Udachnyy,RU,66.4167,112.4,39.45,86,100,7.72,light rain
238,Salta,AR,-24.7859,-65.4117,55.99,85,100,3.44,overcast clouds
239,Davenda,RU,53.5556,119.317,46.69,20,63,5.75,broken clouds
240,Caravelas,BR,-17.7125,-39.2481,71.96,90,18,1.97,few clouds
241,Camacha,PT,33.0833,-16.3333,58.42,82,20,5.75,few clouds
242,Payson,US,40.0444,-111.7321,46.42,41,1,5.01,clear sky
243,Flinders,AU,-34.5833,150.8552,71.19,59,97,8.01,overcast clouds
244,Limulunga,ZM,-15.0969,23.1376,63.63,64,5,4.34,clear sky
245,Tautira,PF,-17.7333,-149.15,80.04,75,25,18.57,light rain
246,Grand Gaube,MU,-20.0064,57.6608,81.0,62,2,7.0,clear sky
247,Tazovskiy,RU,67.4667,78.7,24.76,84,44,16.44,scattered clouds
248,Minden,DE,52.2833,8.9167,44.98,92,75,2.3,broken clouds
249,Belaya Gora,RU,68.5333,146.4167,27.16,78,58,6.96,broken clouds
250,Hambantota,LK,6.1241,81.1185,89.94,70,20,4.61,few clouds
251,Tezu,IN,27.9167,96.1667,81.64,59,100,1.45,overcast clouds
252,Yerbogachen,RU,61.2767,108.0108,48.24,88,100,13.87,overcast clouds
253,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.4,91,2,6.11,clear sky
254,Oum Hadjer,TD,13.2954,19.6966,91.22,16,91,8.23,overcast clouds
255,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,52,75,13.42,broken clouds
256,Prince George,CA,53.9166,-122.753,42.24,65,0,9.22,clear sky
257,Celendin,PE,-6.8703,-78.1517,51.17,88,100,0.67,overcast clouds
258,Somerset,US,40.5668,-74.5496,51.62,40,5,1.01,clear sky
259,Mbaiki,CF,3.8678,17.9892,72.46,75,84,2.46,broken clouds
260,Kashi,CN,39.4547,75.9797,65.41,22,75,8.95,dust
261,Carutapera,BR,-1.195,-46.02,75.0,94,91,4.76,overcast clouds
262,Aklavik,CA,68.2191,-135.0107,29.98,93,54,9.86,broken clouds
263,Carndonagh,IE,55.25,-7.2667,49.62,95,100,4.85,moderate rain
264,Zubova Polyana,RU,54.0771,42.8372,47.98,52,16,7.2,few clouds
265,Bagan,RU,54.1001,77.6646,77.32,21,57,8.28,broken clouds
266,Kruisfontein,ZA,-34.0033,24.7314,58.89,75,36,12.12,scattered clouds
267,Dicabisagan,PH,17.0818,122.4157,86.83,67,82,8.23,broken clouds
268,Dorogino,RU,54.3598,83.3198,69.8,26,85,14.29,overcast clouds
269,Taua,BR,-5.9667,-40.3,70.0,70,100,5.5,overcast clouds
270,Doka,SD,13.5167,35.7667,93.38,7,12,8.3,few clouds
271,Brae,GB,60.3964,-1.353,44.17,75,100,6.04,overcast clouds
272,Awjilah,LY,29.1081,21.2869,68.13,53,0,8.43,clear sky
273,Uvat,RU,59.1433,68.8953,41.56,37,23,6.51,few clouds
274,Dombarovskiy,RU,50.7587,59.5386,61.99,52,99,8.1,overcast clouds
275,Merauke,ID,-8.4667,140.3333,83.75,72,43,9.89,scattered clouds
276,Carnarvon,AU,-24.8667,113.6333,87.87,27,0,17.27,clear sky
277,Mikkeli,FI,61.6886,27.2723,36.14,69,0,9.22,clear sky
278,Jibuti,DJ,11.5,42.5,83.08,62,54,10.89,broken clouds
279,Hamilton,US,39.1834,-84.5333,59.88,62,100,3.0,moderate rain
280,San Ignacio,BZ,17.1561,-89.0714,77.14,88,0,0.0,clear sky
281,Beboto,TD,8.2668,16.939,79.21,66,99,6.31,overcast clouds
282,Port Shepstone,ZA,-30.7414,30.455,65.57,71,97,16.04,overcast clouds
283,Kamiiso,JP,41.8167,140.65,61.18,18,20,25.32,few clouds
284,Gigmoto,PH,13.7796,124.39,85.51,70,92,6.87,overcast clouds
285,Simao,CN,22.7886,100.9748,91.96,20,25,5.84,scattered clouds
286,Oranjemund,NA,-28.55,16.4333,53.1,84,0,7.83,clear sky
287,Mabaruma,GY,8.2,-59.7833,72.63,99,64,2.35,broken clouds
288,Gouloure,BF,12.2306,-1.9289,82.71,46,81,7.99,broken clouds
289,Barcelos,PT,41.5388,-8.6151,57.85,79,10,3.56,clear sky
290,Nemuro,JP,43.3236,145.575,40.87,62,41,11.52,scattered clouds
291,Harper,LR,4.375,-7.7169,78.89,84,57,5.99,light rain
292,Qostanay,KZ,53.1667,63.5833,55.69,50,0,20.13,clear sky
293,Jingdezhen,CN,29.2947,117.2079,63.86,78,100,1.97,moderate rain
294,Robertsonpet,IN,12.9667,78.2833,95.74,25,41,6.06,scattered clouds
295,Ilulissat,GL,69.2167,-51.1,12.81,92,100,11.01,light snow
296,Pringsewu,ID,-5.3582,104.9744,89.76,59,99,3.8,overcast clouds
297,Dong Hoi,VN,17.4833,106.6,79.14,86,100,6.62,overcast clouds
298,Albina,SR,5.5,-54.05,72.95,94,54,2.08,broken clouds
299,Saskylakh,RU,71.9167,114.0833,24.46,90,98,17.45,overcast clouds
300,Honningsvag,NO,70.9821,25.9704,28.15,69,100,18.41,overcast clouds
301,Chapleau,CA,47.8405,-83.4034,32.13,87,62,5.53,broken clouds
302,Ust-Ishim,RU,57.6935,71.1665,43.68,42,63,8.21,broken clouds
303,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,86,100,18.41,overcast clouds
304,Hvide Sande,DK,56.0045,8.1294,46.09,74,14,13.47,few clouds
305,Shiyan,CN,32.6475,110.7781,62.56,74,100,6.85,moderate rain
306,Hanzhong,CN,33.0728,107.0303,59.83,60,100,5.88,light rain
307,Antofagasta,CL,-23.65,-70.4,58.28,82,100,5.06,overcast clouds
308,Naqadeh,IR,36.9553,45.388,62.51,53,29,1.41,scattered clouds
309,Kampong Cham,KH,11.9934,105.4635,92.17,47,84,6.53,broken clouds
310,Parati,BR,-23.2178,-44.7131,72.19,99,94,2.19,light rain
311,Vila,PT,42.0304,-8.1588,54.7,76,34,2.17,scattered clouds
312,Komsomolskiy,UZ,40.4272,71.7189,79.52,41,29,6.91,scattered clouds
313,Sanary-Sur-Mer,FR,43.1178,5.8001,55.92,61,93,2.73,overcast clouds
314,Lorengau,PG,-2.0226,147.2712,82.09,77,82,3.02,broken clouds
315,Lowestoft,GB,52.4752,1.7516,44.02,88,3,7.87,clear sky
316,Isangel,VU,-19.55,169.2667,76.73,81,99,24.9,overcast clouds
317,Inuvik,CA,68.3499,-133.7218,40.06,58,20,3.44,few clouds
318,Morgan City,US,29.6994,-91.2068,64.99,100,0,5.75,clear sky
319,Surt,LY,31.2089,16.5887,64.15,78,84,7.9,broken clouds
320,Coquimbo,CL,-29.9533,-71.3436,58.73,77,100,1.14,overcast clouds
321,Azul,AR,-36.777,-59.8585,41.34,57,82,2.28,broken clouds
322,Treia,IT,43.3106,13.3115,53.51,65,0,3.44,clear sky
323,Sinnamary,GF,5.3833,-52.95,78.62,78,73,11.88,broken clouds
324,Tyrma,RU,50.0833,132.1667,53.98,31,98,9.33,overcast clouds
325,Marystown,CA,47.1666,-55.1483,43.86,100,100,5.01,overcast clouds
326,Sangareddi,IN,17.6294,78.0917,98.92,14,10,6.06,clear sky
327,Maarianhamina,AX,60.0973,19.9348,40.86,65,0,3.44,clear sky
328,Ust-Koksa,RU,50.2696,85.6108,63.81,26,98,2.42,overcast clouds
329,Telimele,GN,10.9167,-13.3333,72.14,74,100,1.99,overcast clouds
330,Puerto Escondido,MX,15.85,-97.0667,82.08,70,78,7.45,broken clouds
331,Shenjiamen,CN,29.9576,122.298,56.46,77,100,9.4,overcast clouds
332,Holme,DK,56.1138,10.1725,40.57,92,18,5.26,few clouds
333,Warrington,GB,53.3925,-2.5802,44.46,82,0,3.44,clear sky
334,Kurilsk,RU,45.2333,147.8833,32.97,84,100,15.59,overcast clouds
335,Bowral,AU,-34.4667,150.4167,63.14,65,89,12.17,overcast clouds
336,Jaque,PA,7.5175,-78.1703,79.02,86,98,3.58,light rain
337,Yeroham,IL,30.9872,34.9314,86.88,11,31,17.09,scattered clouds
338,Laguna,US,38.421,-121.4238,62.94,61,0,5.75,clear sky
339,Geraldton,AU,-28.7667,114.6,81.01,26,0,6.91,clear sky
340,Bulanash,RU,57.2783,61.9965,43.03,34,1,5.44,clear sky
341,Ulaangom,MN,49.9811,92.0667,64.99,16,17,12.24,few clouds
342,Ambilobe,MG,-13.2,49.05,80.47,72,88,3.76,overcast clouds
343,Qaqortoq,GL,60.7167,-46.0333,35.26,92,82,0.47,broken clouds
344,Havoysund,NO,70.9963,24.6622,28.63,72,100,17.85,light snow
345,Matagami,CA,49.7502,-77.6328,26.71,80,0,0.0,clear sky
346,Aitape,PG,-3.1374,142.3475,83.43,73,89,6.82,overcast clouds
