City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Harper,LR,78.89,light rain,4.375,-7.7169,Screensaver
293,Jingdezhen,CN,63.86,moderate rain,29.2947,117.2079,Garden Hotel
296,Pringsewu,ID,89.76,overcast clouds,-5.3582,104.9744,Urban Style by Front One
297,Dong Hoi,VN,79.14,overcast clouds,17.4833,106.6,Nam Long Hotel
298,Albina,SR,72.95,broken clouds,5.5,-54.05,Hudace
305,Shiyan,CN,62.56,moderate rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
308,Naqadeh,IR,62.51,scattered clouds,36.9553,45.388,ایبنه شربین اووی
309,Kampong Cham,KH,92.17,broken clouds,11.9934,105.4635,7 Makara Hotel
310,Parati,BR,72.19,light rain,-23.2178,-44.7131,Che Lagarto Paraty
312,Komsomolskiy,UZ,79.52,scattered clouds,40.4272,71.7189,Ikathouse
314,Lorengau,PG,82.09,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
316,Isangel,VU,76.73,overcast clouds,-19.55,169.2667,Tanna Lodge
318,Morgan City,US,64.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
319,Surt,LY,64.15,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
323,Sinnamary,GF,78.62,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
328,Ust-Koksa,RU,63.81,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
329,Telimele,GN,72.14,overcast clouds,10.9167,-13.3333,
330,Puerto Escondido,MX,82.08,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
335,Bowral,AU,63.14,overcast clouds,-34.4667,150.4167,Peppers Craigieburn Bowral
336,Jaque,PA,79.02,light rain,7.5175,-78.1703,Aventuras Jaque S.A
337,Yeroham,IL,86.88,scattered clouds,30.9872,34.9314,Desert Iris
338,Laguna,US,62.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
339,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
341,Ulaangom,MN,64.99,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
342,Ambilobe,MG,80.47,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
346,Aitape,PG,83.43,overcast clouds,-3.1374,142.3475,
347,Vila Velha,BR,70.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
348,Maturin,VE,73.71,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
349,Kainantu,PG,72.7,overcast clouds,-6.2887,145.8655,Sylvester buku
353,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
354,Santa Rosa,PH,94.98,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
355,Salinopolis,BR,77.9,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
358,Paracuru,BR,74.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
359,Tevaitoa,PF,80.8,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
360,Hami,CN,68.43,clear sky,42.8,93.45,Laoyutang Resort
362,Maputo,MZ,65.23,few clouds,-25.9653,32.5892,Pestana Rovuma
364,Marawi,PH,77.9,light rain,7.9986,124.2928,Derogongan Residence
366,Bandundu,CD,72.45,overcast clouds,-3.3167,17.3667,Coja Color
367,Ararangua,BR,61.25,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
368,Kilindoni,TZ,80.19,broken clouds,-7.9139,39.6668,Bustani B&B
369,Turayf,SA,70.05,clear sky,31.6725,38.6637,Turaif
370,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
371,Maralal,KE,65.16,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
373,Solwezi,ZM,60.89,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
374,Aksu,CN,66.99,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
376,Ciudad Bolivar,VE,80.19,broken clouds,8.1222,-63.5497,Hotel Edi
377,Bogo,PH,87.6,scattered clouds,11.0517,124.0055,Acrige Apartelle
378,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
381,Mae Ramat,TH,93.52,scattered clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
382,Mackay,AU,81.68,few clouds,-21.15,149.2,International Lodge Motel
389,Port Hueneme,US,62.96,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
394,Mbanza-Ngungu,CD,68.76,overcast clouds,-5.25,14.8667,Hotel Full Business
395,Cairns,AU,80.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
397,Port-Gentil,GA,76.96,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
399,Sal Rei,CV,69.37,clear sky,16.1833,-22.9167,Marine Club Beach Resort
402,Banda Aceh,ID,86.32,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
404,Nicoya,CR,78.24,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
408,Chimbote,PE,64.85,overcast clouds,-9.0853,-78.5783,Hotel Briliá
409,Praia Da Vitoria,PT,61.75,few clouds,38.7333,-27.0667,Hotel Branco I
410,Takoradi,GH,79.36,overcast clouds,4.8845,-1.7554,Raybow International Hotel
411,Beroroha,MG,77.68,clear sky,-21.6667,45.1667,
414,Bubaque,GW,76.66,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
415,Doume,CM,69.06,broken clouds,4.2333,13.45,Hotel Universel
417,Sao Felix Do Xingu,BR,69.42,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
419,Lae,PG,92.07,overcast clouds,-6.7221,146.9847,Phils Hotel
422,Gorontalo,ID,82.29,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
423,Gizo,SB,84.11,scattered clouds,-8.103,156.8419,Imagination Island
424,Port Blair,IN,91.44,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
425,Sembe,CG,71.55,light rain,1.6481,14.5806,
426,Namatanai,PG,83.52,light rain,-3.6667,152.4333,Seagulls Inn Namatani
428,Mozarlandia,BR,75.72,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
